invoice_id,date,store_id,product,quantity,unit_price,total,regions
8987d0bd-7641-44ec-ae7c-746200f7cfe7,2026-02-06,S-3,Guns,5,1264,6320,Sinda
d74c0759-0c25-4b32-b74a-b50a723d2824,2025-03-05,S-4,Phone,9,1580,14220,Lusaka
4f3b75ef-91f0-47ee-b9f7-d5b50c516039,2025-03-12,S-2,Phone,10,1568,15680,Sam
faf305de-f532-4a08-adf7-3c5fe6148a16,2025-02-28,S-2,Phone,9,1556,14004,Sam
252f1271-26d0-41d1-b5ee-be42edd33e48,2025-12-01,S-4,Phone,7,1720,12040,Chipata
be51a5f3-431b-432b-a105-dd4b14c4c08a,2025-07-20,S-5,Pants,7,1652,11564,Chipata
d0864d4d-2d8f-40d5-86a1-01b79897237c,2025-08-06,S-4,Phone,2,1406,2812,Vubwi
d7ca63a3-1a35-48f7-8cf1-7ac396264b54,2025-07-30,S-4,Pants,3,1995,5985,Chipata
c65dbefc-3a2d-46db-ad6c-23920aaabe0e,2025-05-05,S-5,Guns,2,339,678,Sam
0b1f2bb8-5f74-48e6-912d-6459f1502900,2025-08-05,S-5,Guns,10,1469,14690,Lusaka
c161db1b-572c-4c7f-a234-3874ffc1361c,2025-11-07,S-4,Pants,4,854,3416,Vubwi
a53035b9-30bf-4453-9cde-88f1f6594fa0,2025-08-26,S-3,Phone,3,1176,3528,Sinda
b498aa5b-f3d7-4c40-a9bf-3251ace3f75b,2026-01-17,S-1,Phone,4,798,3192,Sam
4d6c6404-4797-41d4-b403-0c0e7a3ca69e,2026-02-20,S-5,Shoes,5,1543,7715,Lusaka
ca10a9a1-10c4-465a-bbac-55e6e10fc5e4,2026-02-05,S-2,Pants,4,1432,5728,Sam
382884bf-a138-4c75-bf96-b35254c2d9e7,2025-09-29,S-4,Shoes,3,1432,4296,Sam
b4ce046d-006b-4a2e-8546-4ecf42926340,2026-02-23,S-4,Guns,9,467,4203,Sam
a4a0a4aa-ae0f-4aef-9a52-607ab9a82667,2026-01-20,S-2,Pots,3,1417,4251,Chipata
