invoice_id,date,store_id,product,quantity,unit_price,total,regions
9074c49b-afa6-4b74-9dcf-76365167860d,2026-02-15,S-5,Pots,7,802,5614,Vubwi
c046f06b-d81f-4332-9a61-e9abea2d80b9,2025-03-28,S-5,Shoes,9,950,8550,Sinda
3be116eb-a129-47db-86a5-7cedbded400c,2025-04-23,S-2,Laptops,1,1883,1883,Lusaka
dcd87e2e-665a-4988-a20f-d5d4ec959814,2025-08-07,S-4,Phone,1,188,188,Sam
51df5891-f646-49af-99be-b4208dab9d25,2025-12-12,S-2,Shoes,6,1536,9216,Lusaka
a33600ba-4da3-4380-b3dc-40fe412bd556,2025-09-28,S-2,Guns,9,1721,15489,Vubwi
eaf8eb19-07d8-40c9-a371-3cd374277afb,2025-12-06,S-1,Shoes,1,1197,1197,Lusaka
557354f2-9900-4f40-8fba-33bd2550f367,2025-09-14,S-3,Shoes,2,1247,2494,Vubwi
62893685-b2fc-4315-a528-4746aea20a7c,2025-07-14,S-2,Guns,4,1048,4192,Chipata
df0b40c6-c36f-4ca6-bccf-f55f93216e0c,2026-02-09,S-3,Phone,8,846,6768,Sam
6e776eeb-5a8a-45c5-bfaa-1b5ddd265f93,2026-01-28,S-3,Laptops,6,593,3558,Lusaka
6d4e2a93-104b-4481-856f-f5ccc82cd358,2026-02-24,S-1,Phone,8,740,5920,Lusaka
737a02db-aad6-4e9a-beff-64bf63424963,2025-04-21,S-4,Shoes,1,1720,1720,Lusaka
22ca71c9-e1e0-4173-877a-8dde8900efe1,2025-07-29,S-2,Phone,3,1214,3642,Sinda
4148e445-6e13-42d1-80bf-6514f9b19c9d,2025-05-17,S-3,Pants,10,515,5150,Sinda
7fe131b0-d5f8-4e73-b071-e3a92d718476,2026-02-06,S-3,Shoes,8,1373,10984,Vubwi
b6a2a9c7-51b5-4a0e-9426-a30f06ee874d,2025-12-10,S-3,Pants,8,148,1184,Lusaka
16d45712-5a2c-4070-ae3e-4ad386f88ad0,2025-04-19,S-2,Pants,1,706,706,Sam
c84d8eb7-c8b7-4089-a666-fa86438f3be0,2025-11-09,S-5,Pots,8,1380,11040,Vubwi
304714aa-b940-4972-b102-cb8b873e625e,2025-05-12,S-3,Phone,9,573,5157,Vubwi
28e831e6-4440-456f-9a4e-f5170115ddf4,2025-08-01,S-1,Guns,2,1580,3160,Vubwi
77720941-0760-47de-bb15-70f127a302ce,2025-03-28,S-1,Shoes,4,1235,4940,Vubwi
46e4ad8f-fc8b-4101-aa5d-1bdf7087a75f,2025-03-20,S-3,Laptops,1,849,849,Lusaka
061715e6-8343-447e-bd3f-b9770763d97b,2026-01-11,S-5,Laptops,7,72,504,Sam
14787704-f6e5-450a-aafe-f8467124475d,2025-03-20,S-4,Guns,9,593,5337,Lusaka
c5c817d9-7720-4857-95a3-e32893831cc2,2025-07-05,S-1,Phone,9,1351,12159,Sam
a7addfa4-66e2-476d-b86f-9b7c800ec308,2025-08-17,S-1,Guns,9,122,1098,Sinda
b673b71f-99b0-44bd-811c-b581df1f9f4e,2025-11-15,S-3,Phone,3,1093,3279,Chipata
8124055f-3d7a-4bea-b9f8-18c8dbdc4435,2025-04-16,S-5,Pants,1,763,763,Sam
a38ff3a7-9270-4009-8bb4-7e7e5b790a25,2025-09-28,S-2,Shoes,8,315,2520,Sinda
d4f996ce-f44d-42bb-b841-33c9d95b3e35,2025-12-30,S-2,Laptops,2,472,944,Sinda
acb84d30-55a2-412c-a5ec-21c4c6dfcea9,2025-12-20,S-5,Guns,1,740,740,Vubwi
8a811b96-05b1-46be-8e3f-86635a31b19b,2025-04-07,S-5,Pants,8,1562,12496,Vubwi
97ac1ab2-2f19-4adc-979a-05102c2657d5,2025-06-03,S-5,Pots,5,1461,7305,Sinda
b3f579d6-a2d3-4050-96ff-44e8ae036615,2025-09-27,S-5,Pots,9,423,3807,Chipata
a1cf3c75-e169-48af-a2de-82c56f263edb,2025-08-25,S-4,Pants,9,861,7749,Chipata
a52a7c28-5772-49d9-a07c-cc547b1661fb,2025-04-10,S-4,Laptops,9,1179,10611,Chipata
de469774-4bac-45c6-b1c2-48f375d65bd3,2025-11-28,S-5,Pots,5,850,4250,Sinda
a8f52ef0-0b3f-481e-a587-51f2eddb4b54,2025-11-03,S-4,Pants,1,411,411,Sinda
b0054c2d-d3db-4969-86b9-e9b5cdf4d904,2025-07-29,S-3,Pots,4,751,3004,Sinda
9864e007-cd7b-4b19-a70f-7969a973177f,2026-02-04,S-5,Pants,9,1554,13986,Chipata
620ff2aa-0b82-4ce2-8fc5-fd11dd95bcb3,2025-11-12,S-5,Guns,2,721,1442,Lusaka
e6fdbb27-1628-4cc5-b1c5-163b1730f730,2025-06-14,S-4,Pots,7,1401,9807,Vubwi
4aab5ad0-356a-4b86-902f-21b0eee53be4,2025-03-21,S-3,Pants,7,1597,11179,Chipata
8f1de258-52a4-49c7-8a4b-2bca96339473,2025-04-25,S-2,Pants,1,1489,1489,Vubwi
f682ec41-2632-4afb-b61f-b57898913b70,2025-09-06,S-2,Shoes,2,223,446,Sam
28bac86a-328c-4446-960e-b46aae5bc3d0,2025-10-11,S-1,Shoes,2,749,1498,Lusaka
d6b1eb58-6972-495f-b9a1-ebb486adbc01,2025-06-08,S-5,Pots,7,1849,12943,Sinda
4dbb3ae6-6801-4ba9-9372-2660e0a6b71c,2025-09-17,S-4,Guns,1,873,873,Vubwi
7b6252fb-f69f-46de-8318-2ff6a643c036,2025-08-19,S-4,Pots,6,1528,9168,Vubwi
d75a1d26-e8d4-4cd4-afb5-85e999523056,2025-08-17,S-5,Shoes,1,1544,1544,Vubwi
d70c5306-9f75-48c5-9833-ee310a5d4b68,2025-12-28,S-1,Shoes,1,1219,1219,Lusaka
7c0eaf36-a9fe-4cea-810b-5673eb4f32d2,2025-09-28,S-1,Pants,9,1151,10359,Vubwi
6f886194-2b1b-479f-9fe7-bb5c511e9729,2025-06-14,S-3,Guns,8,260,2080,Chipata
10025215-17a4-4629-8362-2384cbdb8e19,2025-11-13,S-5,Phone,4,976,3904,Chipata
4f6f5ee4-31ea-4038-88bd-9d8c3cf3dc0e,2025-11-20,S-2,Guns,8,158,1264,Sam
e69f17fe-c47c-4ac3-8767-1a757508ac94,2025-12-21,S-2,Shoes,6,1460,8760,Lusaka
4ca852b9-ba3f-421d-a329-6f7a949dde9a,2025-04-24,S-1,Pots,5,1622,8110,Vubwi
a9542807-9d36-4efe-898e-e2e8fdee93c5,2025-11-28,S-5,Pots,8,275,2200,Chipata
9ad27412-6021-40eb-9bdf-d974e1e4bace,2026-02-11,S-1,Laptops,10,1792,17920,Sam
3001f115-9845-4fb4-91eb-3edcef6c25f3,2025-08-13,S-5,Shoes,10,914,9140,Chipata
691413c2-2720-4ce4-b026-b58c2335cae1,2025-09-27,S-3,Shoes,9,934,8406,Sam
4e37d9e7-b3d0-4570-b95f-0718e0dbce1c,2025-08-31,S-3,Pots,5,152,760,Sam
aad1c93d-6ec6-4f77-9474-fd016a973807,2025-08-27,S-4,Shoes,3,1931,5793,Vubwi
13d8efb4-5361-47d6-b91e-58f8cffe1c67,2026-02-10,S-2,Guns,6,543,3258,Chipata
0543bd8b-29de-4202-a9b1-324857613c75,2026-02-04,S-5,Shoes,3,1817,5451,Vubwi
ecf32c5a-52be-4009-9246-0e340a68bbe0,2025-11-22,S-4,Laptops,1,1408,1408,Vubwi
973a2f29-a354-438d-9013-4e5474c671cd,2025-06-29,S-5,Pots,3,326,978,Vubwi
1faad4ef-82c0-40d9-99da-13bd2dd3efd8,2025-08-04,S-3,Guns,8,582,4656,Vubwi
7c5ad844-cc86-487f-ac00-e775ee776541,2025-05-12,S-1,Phone,4,976,3904,Vubwi
c43d05ca-396c-4a4e-b499-82b2040c0f38,2025-08-13,S-2,Pots,2,901,1802,Sam
23ca3874-a8ab-41d3-ae77-d4d676a96eff,2026-01-08,S-3,Pants,5,946,4730,Sinda
58321cb0-28a9-4d43-a32e-3724421aa8ff,2026-01-23,S-5,Pants,1,1563,1563,Vubwi
32644afb-8922-4bae-a8ff-95b37de78ff8,2025-09-12,S-4,Pants,8,512,4096,Sinda
ede65d50-213b-402e-99b9-4a31f6efa1fa,2025-11-14,S-1,Shoes,5,353,1765,Vubwi
9f58b582-4bcb-4de5-88b9-e53d80c74330,2025-06-06,S-5,Pants,8,777,6216,Sinda
74dc976d-5d89-4521-9fbc-18fad9ee73b6,2025-05-01,S-2,Pots,9,484,4356,Chipata
ae513f29-4d73-41ea-94ea-0a2efdce1b25,2025-07-06,S-4,Guns,2,209,418,Vubwi
a83e0c96-a0f6-44f5-90cf-3db432def196,2025-09-15,S-2,Pants,5,956,4780,Sam
ccc0a78b-1ec8-4262-8520-9cfabc859fb4,2025-10-18,S-3,Pants,8,1054,8432,Lusaka
cf62c4f5-d165-41ee-9d61-dfc5cd051e68,2025-02-26,S-3,Guns,10,1074,10740,Lusaka
32408a67-7282-4fe2-92b6-5e1d499ebd77,2025-09-08,S-5,Pants,10,879,8790,Sam
bbf75d91-07ba-4bbd-a6fe-d855347a1a82,2026-02-10,S-2,Shoes,7,223,1561,Sam
d55f543a-d66b-463c-ba51-90b321ac5a77,2025-09-11,S-5,Laptops,7,913,6391,Vubwi
9d3cdecd-a5cb-4b17-829e-4a444a318b94,2025-09-11,S-2,Shoes,3,286,858,Vubwi
af9f0bd0-a33f-4431-aeaf-db613a7b7535,2025-05-09,S-1,Shoes,2,762,1524,Sinda
